PIN,complete,date,calendar_time,timestamp,location,commit,version,item,response
'00001',y,30-07-2020,12:07:17,137,local,dcfd592,B,1,Sometimes
'00001',y,30-07-2020,12:07:17,169,local,dcfd592,B,2,Sometimes
'00001',y,30-07-2020,12:07:17,236,local,dcfd592,B,3,Always
'00001',y,30-07-2020,12:07:17,302,local,dcfd592,B,4,Often
'00001',y,30-07-2020,12:07:17,352,local,dcfd592,B,5,Sometimes
'00001',y,30-07-2020,12:07:17,439,local,dcfd592,B,6,Never
'00001',y,30-07-2020,12:07:18,502,local,dcfd592,B,7,Often
'00001',y,30-07-2020,12:07:18,605,local,dcfd592,B,8,Always
'00001',y,30-07-2020,12:07:18,671,local,dcfd592,B,9,Never
'00001',y,30-07-2020,12:07:18,786,local,dcfd592,B,10,Always
'00001',y,30-07-2020,12:07:18,886,local,dcfd592,B,11,Sometimes
'00001',y,30-07-2020,12:07:18,987,local,dcfd592,B,12,Always
'00001',y,30-07-2020,12:07:18,1089,local,dcfd592,B,13,Always
'00001',y,30-07-2020,12:07:18,1172,local,dcfd592,B,14,Often
'00001',y,30-07-2020,12:07:18,1272,local,dcfd592,B,15,Never
'00001',y,30-07-2020,12:07:18,1385,local,dcfd592,B,16,Always
'00001',y,30-07-2020,12:07:18,1451,local,dcfd592,B,17,Sometimes
'00001',y,30-07-2020,12:07:19,1534,local,dcfd592,B,18,Never
'00001',y,30-07-2020,12:07:19,1653,local,dcfd592,B,19,Often
'00001',y,30-07-2020,12:07:19,1702,local,dcfd592,B,20,Always
